'ts', 'coin', 'pnl_real', 'amount_in', 'entry_theo', 'entry_real', 'exit_theo', 'exit_real'
2025-03-06 22:37:34.927438+00:00,FILUSDT,-0.011787193373685834,296.94939999999997,3.1375,3.139,3.1014999999999997,3.102
2025-03-06 23:07:27.398449+00:00,CHZUSDT,0.04315831344470955,-296.70228,0.050305,0.05028,0.048115000000000005,0.04811
2025-03-07 00:13:35.268844+00:00,ATOMUSDT,0.020314996576124233,-296.90037,4.3805,4.381,4.2865,4.292
2025-03-07 00:27:34.087059+00:00,BLURUSDT,-0.05482073038848678,296.67828,0.120285,0.12021,0.11374999999999999,0.11362
2025-03-07 01:59:36.285784+00:00,INJUSDT,-0.019148233740508336,295.63039999999995,12.119499999999999,12.116,11.8905,11.884
2025-03-07 02:01:42.363346+00:00,OPUSDT,0.0019689119170984704,297.1235,0.96405,0.965,0.96705,0.9669
2025-03-07 02:51:37.531245+00:00,ETHUSDT,0.03915163334958549,-295.5491,2256.9449999999997,2256.1,2167.1949999999997,2167.77
2025-03-07 03:03:38.899452+00:00,DOTUSDT,-0.014476614699331924,296.789,4.4905,4.49,4.4254999999999995,4.425
2025-03-07 04:01:42.630656+00:00,MEMEUSDT,-0.009542612701546549,297.019704,0.0030375000000000003,0.003039,0.0030085,0.00301
2025-03-07 06:07:44.128023+00:00,KSMUSDT,0.040737148399612066,-295.0722,18.594,18.558,17.801499999999997,17.802
2025-03-07 07:00:00+00:00,CELOUSDT,-0.01832460732984298,296.47020000000003,0.3825,0.382,0.375,0.375
2025-03-07 09:21:41.124080+00:00,SEIUSDT,0.045620437956204185,296.7968,0.21925,0.2192,0.22885,0.2292
2025-03-07 12:10:34.869175+00:00,ONTUSDT,-0.0012468827930173232,297.33348,0.16015000000000001,0.1604,0.16025,0.1602
2025-03-07 13:30:00+00:00,1INCHUSDT,0.013080168776371304,-296.724,0.23695,0.237,0.2334,0.2339
2025-03-07 14:26:36.097518+00:00,PYTHUSDT,0.03137147549958941,-296.07565,0.18312,0.18265,0.176915,0.17692
2025-03-07 22:34:10.901812+00:00,DOTUSDT,0.028934677772906703,-296.07380000000006,4.5695,4.562,4.4275,4.43
2025-03-07 23:20:11.421394+00:00,NEOUSDT,0.03750407653005772,-296.94372,9.1965,9.199,8.8585,8.854
2025-03-08 00:08:16.882439+00:00,UNIUSDT,-0.032509220051905374,292.84,7.319,7.321,7.0825,7.083
2025-03-08 00:42:10.392829+00:00,EOSUSDT,0.050096339113680166,296.5566,0.5195000000000001,0.519,0.5445,0.545
2025-03-08 01:44:14.592275+00:00,SANDUSDT,0.05587692692536195,-296.78368,0.319785,0.31981,0.301945,0.30194
2025-03-08 08:58:10.664011+00:00,FETUSDT,0.0009876543209874633,296.46000000000004,0.6073,0.6075,0.60995,0.6081
2025-03-08 10:30:00+00:00,LPTUSDT,-0.005027652086475487,296.55989999999997,5.967499999999999,5.967,5.948,5.937
2025-03-08 12:32:16.842485+00:00,POLUSDT,-0.05437138016626608,296.70389,0.25383500000000003,0.25381,0.240435,0.24001
2025-03-08 13:00:00+00:00,LINKUSDT,0.10786581839213405,-296.6964,17.2915,17.29,15.429,15.425
2025-03-08 13:56:15.025275+00:00,1INCHUSDT,0.008830022075055233,297.168,0.22625,0.2265,0.22855,0.2285
2025-03-08 14:00:00+00:00,ENSUSDT,-0.01927699486261014,294.9163,21.2205,21.217,20.847,20.808
2025-03-08 14:12:18.298522+00:00,APEUSDT,0.07256546294711619,-296.8244,0.58425,0.5843,0.54205,0.5419
2025-03-08 14:10:16.080623+00:00,YFIUSDT,0.02418468303407839,-294.73199999999997,5455.5,5458.0,5326.5,5326.0
2025-03-09 00:34:18.024407+00:00,COMPUSDT,0.026289583748257295,-296.38963,50.285,50.21,48.905,48.89
2025-03-09 02:32:20.374008+00:00,BATUSDT,0.04732636754763375,-296.58583000000004,0.16285,0.1627,0.15485,0.155
2025-03-09 05:22:22.193298+00:00,WUSDT,-0.08553952893920036,296.886262,0.109535,0.10954,0.10033500000000001,0.10017
2025-03-09 09:12:16.875582+00:00,MINAUSDT,-0.04701873935264045,297.3155,0.29285,0.2935,0.27975,0.2797
2025-03-09 09:48:19.228365+00:00,RENDERUSDT,0.16883435582822093,-296.66,4.076499999999999,4.075,3.3875,3.387
2025-03-09 12:26:19.024670+00:00,SEIUSDT,-0.006597549481621168,332.5174,0.21215,0.2122,0.21105000000000002,0.2108
2025-03-09 13:02:24.363575+00:00,ARBUSDT,0.07643155566478244,-297.037,0.40665,0.4069,0.37595,0.3758
2025-03-09 13:20:21.271746+00:00,CHZUSDT,0.04191238416175225,-332.45496,0.047485,0.04748,0.045465,0.04549
2025-03-09 13:30:00+00:00,CELOUSDT,0.05305039787798416,-332.9287,0.3765,0.377,0.356,0.357
2025-03-09 13:54:16.453495+00:00,EOSUSDT,0.04638218923933213,-330.946,0.5415000000000001,0.539,0.5135000000000001,0.514
2025-03-09 17:58:22.400116+00:00,OPUSDT,-0.08491379310344838,332.4096,0.92825,0.928,0.84985,0.8492
2025-03-09 19:30:23.753555+00:00,KSMUSDT,-0.09807776321537809,296.6544,18.3155,18.312,16.522,16.516
2025-03-09 22:04:20.084514+00:00,BLURUSDT,0.15335516922818504,-296.60337,0.11915500000000001,0.11907,0.10083500000000001,0.10081
2025-03-09 23:00:00+00:00,FETUSDT,-0.0779642663779101,332.46000000000004,0.55415,0.5541,0.5106,0.5109
2025-03-10 04:14:22.978003+00:00,AAVEUSDT,0.028702518139137823,318.64799999999997,187.61,187.44,192.655,192.82
2025-03-10 07:46:28.359746+00:00,NEARUSDT,0.20173805090006203,-296.424,3.2225,3.222,2.5694999999999997,2.572
2025-03-10 08:56:27.421418+00:00,SEIUSDT,0.12910583941605847,-332.088,0.21935,0.2192,0.19105,0.1909
